song_id,song_name,author_name,album_name,song_img,song_url,album_data,create_time,update_time
1538448385161,why,绚香,why,"Don't Need No Money-1538591246978.jpg",絢香 - Why-1538635358723.mp3,2018-10-23,Tue Oct 02 2018 10:46:25 GMT+0800 (中国标准时间),Thu Oct 04 2018 14:43:06 GMT+0800 (中国标准时间)
1538579007825,vicious-girl,Calvo,vicious-girl,vicious-girl-1538591278488.jpg,Vicious Girl (Original Mix)-Calvo-1538591308249.mp3,2018-10-02,Wed Oct 03 2018 23:03:27 GMT+0800 (中国标准时间),Thu Oct 04 2018 02:31:49 GMT+0800 (中国标准时间)
1538665041765,Friends,Justin Bieber / BloodPop,Friends,Friends-1538665039348.jpg,Friends-1538665030367.mp3,2017-08-18,Thu Oct 04 2018 22:57:21 GMT+0800 (中国标准时间),Thu Oct 04 2018 22:57:21 GMT+0800 (中国标准时间)
1544355209982,願い~あの頃のキミへ~,當山みれい,願い~あの頃のキミへ~,願い~あの頃のキミへ~-1544355202416.jpg,願い~あの頃のキミへ~-1544355207865.mp3,2018-12-02,Sun Dec 09 2018 19:33:29 GMT+0800 (中国标准时间),Sun Dec 09 2018 19:33:29 GMT+0800 (中国标准时间)
1544355335643,Slam,Pendulum,Hold Your Colour,Slam-1544355329734.jpg,Slam-1544355333851.mp3,2007-07-16,Sun Dec 09 2018 19:35:35 GMT+0800 (中国标准时间),Sun Dec 09 2018 19:36:01 GMT+0800 (中国标准时间)
